modelo,alpha,gamma,epsilon_start,oponente_entrenamiento,oponente_evaluacion,episodios_eval,ganadas,perdidas,empates,porcentaje_victorias
trained_model_vs_None_1000_0.9_1.0_0.1_0.9950.005_128_1000_100,0.005,0.9,1.0,None,random,1000,857,143,0,0.857
trained_model_vs_Random_1000_0.9_1.0_0.1_0.9950.005_128_1000_100,0.005,0.9,1.0,Random,random,1000,679,321,0,0.679
trained_model_vs_Defensor_1000_0.9_1.0_0.1_0.9950.005_128_1000_100,0.005,0.9,1.0,Defensor,random,1000,858,142,0,0.858
trained_model_vs_None_1000_0.9_0.9_0.1_0.9950.005_128_1000_100,0.005,0.9,0.9,None,random,1000,776,224,0,0.776
trained_model_vs_Random_1000_0.9_0.9_0.1_0.9950.005_128_1000_100,0.005,0.9,0.9,Random,random,1000,778,222,0,0.778
trained_model_vs_Defensor_1000_0.9_0.9_0.1_0.9950.005_128_1000_100,0.005,0.9,0.9,Defensor,random,1000,881,119,0,0.881
trained_model_vs_None_1000_0.9_0.8_0.1_0.9950.005_128_1000_100,0.005,0.9,0.8,None,random,1000,862,138,0,0.862
trained_model_vs_Random_1000_0.9_0.8_0.1_0.9950.005_128_1000_100,0.005,0.9,0.8,Random,random,1000,766,234,0,0.766
trained_model_vs_Defensor_1000_0.9_0.8_0.1_0.9950.005_128_1000_100,0.005,0.9,0.8,Defensor,random,1000,874,126,0,0.874
trained_model_vs_None_1000_0.9_0.7_0.1_0.9950.005_128_1000_100,0.005,0.9,0.7,None,random,1000,821,179,0,0.821
trained_model_vs_Random_1000_0.9_0.7_0.1_0.9950.005_128_1000_100,0.005,0.9,0.7,Random,random,1000,731,269,0,0.731
trained_model_vs_Defensor_1000_0.9_0.7_0.1_0.9950.005_128_1000_100,0.005,0.9,0.7,Defensor,random,1000,829,171,0,0.829
trained_model_vs_None_1000_0.95_1.0_0.1_0.9950.005_128_1000_100,0.005,0.95,1.0,None,random,1000,811,189,0,0.811
trained_model_vs_Random_1000_0.95_1.0_0.1_0.9950.005_128_1000_100,0.005,0.95,1.0,Random,random,1000,754,246,0,0.754
trained_model_vs_Defensor_1000_0.95_1.0_0.1_0.9950.005_128_1000_100,0.005,0.95,1.0,Defensor,random,1000,833,167,0,0.833
trained_model_vs_None_1000_0.95_0.9_0.1_0.9950.005_128_1000_100,0.005,0.95,0.9,None,random,1000,824,176,0,0.824
trained_model_vs_Random_1000_0.95_0.9_0.1_0.9950.005_128_1000_100,0.005,0.95,0.9,Random,random,1000,765,235,0,0.765
trained_model_vs_Defensor_1000_0.95_0.9_0.1_0.9950.005_128_1000_100,0.005,0.95,0.9,Defensor,random,1000,750,250,0,0.75
trained_model_vs_None_1000_0.95_0.8_0.1_0.9950.005_128_1000_100,0.005,0.95,0.8,None,random,1000,784,216,0,0.784
trained_model_vs_Random_1000_0.95_0.8_0.1_0.9950.005_128_1000_100,0.005,0.95,0.8,Random,random,1000,606,394,0,0.606
trained_model_vs_Defensor_1000_0.95_0.8_0.1_0.9950.005_128_1000_100,0.005,0.95,0.8,Defensor,random,1000,927,73,0,0.927
trained_model_vs_None_1000_0.95_0.7_0.1_0.9950.005_128_1000_100,0.005,0.95,0.7,None,random,1000,737,263,0,0.737
trained_model_vs_Random_1000_0.95_0.7_0.1_0.9950.005_128_1000_100,0.005,0.95,0.7,Random,random,1000,832,168,0,0.832
trained_model_vs_Defensor_1000_0.95_0.7_0.1_0.9950.005_128_1000_100,0.005,0.95,0.7,Defensor,random,1000,911,89,0,0.911
trained_model_vs_None_1000_0.98_1.0_0.1_0.9950.005_128_1000_100,0.005,0.98,1.0,None,random,1000,742,258,0,0.742
trained_model_vs_Random_1000_0.98_1.0_0.1_0.9950.005_128_1000_100,0.005,0.98,1.0,Random,random,1000,879,121,0,0.879
trained_model_vs_Defensor_1000_0.98_1.0_0.1_0.9950.005_128_1000_100,0.005,0.98,1.0,Defensor,random,1000,840,160,0,0.84
trained_model_vs_None_1000_0.98_0.9_0.1_0.9950.005_128_1000_100,0.005,0.98,0.9,None,random,1000,824,176,0,0.824
trained_model_vs_Random_1000_0.98_0.9_0.1_0.9950.005_128_1000_100,0.005,0.98,0.9,Random,random,1000,832,168,0,0.832
trained_model_vs_Defensor_1000_0.98_0.9_0.1_0.9950.005_128_1000_100,0.005,0.98,0.9,Defensor,random,1000,860,140,0,0.86
trained_model_vs_None_1000_0.98_0.8_0.1_0.9950.005_128_1000_100,0.005,0.98,0.8,None,random,1000,861,139,0,0.861
trained_model_vs_Random_1000_0.98_0.8_0.1_0.9950.005_128_1000_100,0.005,0.98,0.8,Random,random,1000,714,286,0,0.714
trained_model_vs_Defensor_1000_0.98_0.8_0.1_0.9950.005_128_1000_100,0.005,0.98,0.8,Defensor,random,1000,658,342,0,0.658
trained_model_vs_None_1000_0.98_0.7_0.1_0.9950.005_128_1000_100,0.005,0.98,0.7,None,random,1000,800,200,0,0.8
trained_model_vs_Random_1000_0.98_0.7_0.1_0.9950.005_128_1000_100,0.005,0.98,0.7,Random,random,1000,708,292,0,0.708
trained_model_vs_Defensor_1000_0.98_0.7_0.1_0.9950.005_128_1000_100,0.005,0.98,0.7,Defensor,random,1000,918,82,0,0.918
trained_model_vs_None_1000_0.99_1.0_0.1_0.9950.005_128_1000_100,0.005,0.99,1.0,None,random,1000,804,196,0,0.804
trained_model_vs_Random_1000_0.99_1.0_0.1_0.9950.005_128_1000_100,0.005,0.99,1.0,Random,random,1000,761,239,0,0.761
